id,lname,fname,mname,suffix,region,province,municipality,barangay,sitio,purok,house_number,sex,age,youth_with_needs,email,birth_month,birth_day,birth_year,contactnumber,civil_status,youth_classification,age_group,work_status,educational_background,register_sk_voter,voted_last_election,national_voter,attended_kk,times_attended_kk,no_why,date_created,barangay_code
,Wright,Laura,Brianna,,CAR,BEN,La Trinidad,Tawang,,7,70,Male,24,,bjohnson@yahoo.com,5,20,2000,(441)425-6698x97435,Married,Out Of School Youth,Core Youth,Student,High School Level,Registered,No,,No,,,1/23/2024,14
,Meyer,Keith,Michael,,CAR,BEN,La Trinidad,Tawang,,6,90,Male,28,,kevinspencer@hotmail.com,3,20,1996,(972)179-2085x949,Widowed,In School Youth,Young Adult,Student,High School Level,Not Registered,Yes,,Yes,5,,2/28/2024,13
,Kelly,Linda,Vanessa,,CAR,BEN,La Trinidad,Tawang,,1,11,Female,24,,floresrenee@acosta.org,11,25,2000,001-097-730-2044x8340,Single,In School Youth,Core Youth,Employed,College Level,Registered,Yes,,Yes,1,,1/16/2024,15
,Diaz,Beth,Michael,,CAR,BEN,La Trinidad,Tawang,,10,79,Female,28,,pamelathornton@shaw.com,1,12,1996,001-252-283-9786x96217,Widowed,Out Of School Youth,Young Adult,Student,High School Graduate,Registered,Yes,,No,,,5/14/2024,16
,Sullivan,Toni,Jay,,CAR,BEN,La Trinidad,Tawang,,9,36,Male,23,,davidpayne@dixon-reyes.info,2,18,2001,911.166.1790,Married,In School Youth,Core Youth,Student,Elementary Graduate,Not Registered,No,,Yes,1,,2/21/2024,17
,Ponce,Sara,Sarah,,CAR,BEN,La Trinidad,Tawang,,2,61,Male,15,,nnicholson@hawkins.com,1,10,2009,596-749-8710,Widowed,Person With Disability (PWD),Child Youth,Currently looking for job,College Graduate,Not Registered,Yes,,No,,,5/24/2024,18
,Stout,Sarah,Kristy,,CAR,BEN,La Trinidad,Tawang,,6,78,Male,25,,morandarlene@hotmail.com,6,19,1999,001-470-538-3778x35262,Single,In School Youth,Young Adult,Student,Master Graduate,Not Registered,No,,Yes,4,,1/20/2024,5
,Jones,Andrew,James,,CAR,BEN,La Trinidad,Tawang,,5,81,Female,25,,foxbruce@gmail.com,3,27,1999,225.656.5708,Single,Person With Disability (PWD),Young Adult,Employed,Master Level,Not Registered,Yes,,Yes,3,,1/4/2024,6
,Ramirez,Patricia,Brandon,,CAR,BEN,La Trinidad,Tawang,,8,45,Male,30,,tracy74@gmail.com,1,2,1994,997.652.6140x893,Divorced,In School Youth,Young Adult,Unemployed,Elementary Level,Not Registered,No,,No,,,1/31/2024,7
,Evans,Brandy,Lindsey,,CAR,BEN,La Trinidad,Tawang,,10,31,Male,22,,zpaul@gmail.com,9,22,2002,925.563.8156,Married,Person With Disability (PWD),Core Youth,Currently looking for job,Master Level,Registered,No,,Yes,3,,6/12/2024,8
,Higgins,Jason,Curtis,,CAR,BEN,La Trinidad,Tawang,,3,49,Male,28,,nmendoza@schneider.info,10,12,1996,+1-685-948-5839x5006,Divorced,Out Of School Youth,Young Adult,Self-Employed,Vocational Graduate,Registered,Yes,,Yes,4,,4/25/2024,9
,Smith,Julia,Jessica,,CAR,BEN,La Trinidad,Tawang,,6,72,Male,15,,ryananderson@hotmail.com,6,11,2009,2587170106,Married,Working Youth,Child Youth,Unemployed,Elementary Graduate,Registered,No,,Yes,5,,1/1/2024,7
,Hernandez,Maria,Kelly,,CAR,BEN,La Trinidad,Tawang,,4,67,Female,18,,ellenwilliams@yahoo.com,3,20,2006,789-601-6091,Divorced,In School Youth,Core Youth,Currently looking for job,High School Graduate,Not Registered,No,,Yes,3,,3/5/2024,6
,Frank,Edward,Karen,,CAR,BEN,La Trinidad,Tawang,,1,96,Female,16,,schmidtmelissa@rogers-riggs.com,7,6,2008,748.461.0796x530,Married,Person With Disability (PWD),Child Youth,Self-Employed,High School Level,Registered,No,,Yes,2,,1/9/2024,5
,Hunt,Claudia,Michael,,CAR,BEN,La Trinidad,Tawang,,10,8,Female,23,,ashley83@hotmail.com,5,8,2001,001-614-148-8905,Single,Working Youth,Core Youth,Unemployed,High School Level,Not Registered,Yes,,Yes,4,,3/27/2024,4
,Smith,Amy,William,,CAR,BEN,La Trinidad,Tawang,,6,8,Male,25,,peter03@schmidt.com,11,28,1999,888-100-1822,Single,Working Youth,Young Adult,Employed,College Level,Registered,No,,Yes,2,,1/22/2024,3
,Murphy,Tina,Keith,,CAR,BEN,La Trinidad,Tawang,,2,61,Female,16,,norrisnancy@gmail.com,1,8,2008,001-905-802-4467x14978,Widowed,Person With Disability (PWD),Child Youth,Self-Employed,College Graduate,Registered,Yes,,Yes,4,,5/18/2024,4
,Taylor,Mark,Angelica,,CAR,BEN,La Trinidad,Tawang,,5,64,Male,30,,abrooks@hotmail.com,11,12,1994,(903)449-3825x659,Married,Out Of School Youth,Young Adult,Currently looking for job,Elementary Level,Not Registered,Yes,,No,,,5/7/2024,5
,Mendoza,Tracy,Glenn,,CAR,BEN,La Trinidad,Tawang,,10,99,Female,21,,marygeorge@yahoo.com,5,30,2003,-6764,Single,Working Youth,Core Youth,Student,Elementary Level,Registered,Yes,,No,,,3/4/2024,6
,Green,Katie,Gary,,CAR,BEN,La Trinidad,Tawang,,4,62,Female,29,,ryanlarsen@hotmail.com,11,2,1995,8967372437,Married,Out Of School Youth,Young Adult,Currently looking for job,College Graduate,Registered,No,,Yes,4,,1/19/2024,8
,Brown,Michelle,Chelsea,,CAR,BEN,La Trinidad,Tawang,,4,47,Female,23,,moorelori@marshall-gomez.com,6,4,2001,001-550-911-4974x81503,Married,In School Youth,Core Youth,Employed,Elementary Graduate,Not Registered,Yes,,No,,,4/16/2024,9
,Ashley,Stephanie,Jeremy,,CAR,BEN,La Trinidad,Tawang,,5,45,Male,30,,slee@yahoo.com,6,19,1994,-5901,Married,Out Of School Youth,Young Adult,Unemployed,Doctorate Level,Registered,Yes,,No,,,3/14/2024,8
,Beck,Chad,Jeremy,,CAR,BEN,La Trinidad,Tawang,,10,62,Female,22,,cgoodman@yahoo.com,9,3,2002,+1-169-444-4817x15166,Single,In School Youth,Core Youth,Unemployed,Vocational Graduate,Registered,No,,No,,,4/20/2024,7
,Garcia,Megan,Richard,,CAR,BEN,La Trinidad,Tawang,,2,14,Female,19,,toniduncan@james.com,7,20,2005,+1-936-886-9980x4738,Single,Working Youth,Core Youth,Self-Employed,Master Graduate,Registered,Yes,,Yes,2,,5/29/2024,6
,Schroeder,Jeff,Kevin,,CAR,BEN,La Trinidad,Tawang,,3,2,Female,22,,chad47@yahoo.com,8,14,2002,131-528-7720x35977,Single,Person With Disability (PWD),Core Youth,Currently looking for job,Elementary Graduate,Not Registered,No,,Yes,1,,3/15/2024,5
,Porter,Donna,Eric,,CAR,BEN,La Trinidad,Tawang,,6,26,Female,18,,angelalambert@yahoo.com,9,21,2006,061-036-1295x8853,Widowed,Working Youth,Core Youth,Currently looking for job,Doctorate Level,Not Registered,Yes,,Yes,4,,4/10/2024,4
,Briggs,Richard,Lisa,,CAR,BEN,La Trinidad,Tawang,,1,81,Male,27,,gshelton@williams.org,1,31,1997,6575159976,Married,Person With Disability (PWD),Young Adult,Unemployed,Master Graduate,Not Registered,Yes,,No,,,6/10/2024,3
,Young,Sierra,Wyatt,,CAR,BEN,La Trinidad,Tawang,,1,40,Male,17,,dray@hotmail.com,7,13,2007,(579)962-5007x7872,Married,Out Of School Youth,Child Youth,Student,High School Level,Registered,No,,No,,,2/13/2024,10
,Estrada,Jacqueline,Theresa,,CAR,BEN,La Trinidad,Tawang,,5,7,Female,26,,hugheslauren@mejia.com,9,14,1998,+1-216-252-9218x800,Widowed,Working Youth,Young Adult,Currently looking for job,Master Graduate,Not Registered,Yes,,Yes,4,,6/20/2024,11
,Henderson,Kathleen,Ellen,,CAR,BEN,La Trinidad,Tawang,,5,40,Female,19,,twarren@gmail.com,12,27,2005,132.225.5391,Widowed,In School Youth,Core Youth,Currently looking for job,Vocational Graduate,Not Registered,Yes,,No,,,3/6/2024,12
,Sherman,Rebecca,Oscar,,CAR,BEN,La Trinidad,Tawang,,3,95,Male,22,,wsmith@fry.info,3,14,2002,-7763,Married,Out Of School Youth,Core Youth,Employed,College Level,Registered,Yes,,Yes,2,,1/1/2024,13
,Perez,Heather,Amanda,,CAR,BEN,La Trinidad,Tawang,,3,6,Female,23,,etaylor@sparks.com,6,26,2001,-4929,Divorced,In School Youth,Core Youth,Self-Employed,College Level,Not Registered,Yes,,Yes,3,,7/8/2024,14
,Adams,Debbie,Antonio,,CAR,BEN,La Trinidad,Tawang,,10,63,Male,19,,joseph42@holland.net,10,21,2005,-7698,Married,Person With Disability (PWD),Core Youth,Student,Vocational Graduate,Registered,Yes,,Yes,3,,4/28/2024,15
,Cooper,William,Julia,,CAR,BEN,La Trinidad,Tawang,,6,36,Male,26,,brett60@yahoo.com,1,5,1998,577-327-3351,Single,Out Of School Youth,Young Adult,Employed,College Level,Not Registered,No,,No,,,4/28/2024,16
,Coleman,Ruth,Jennifer,,CAR,BEN,La Trinidad,Tawang,,2,12,Female,29,,jessica20@rodriguez-lee.com,3,21,1995,001-422-810-1867x032,Married,Working Youth,Young Adult,Self-Employed,College Level,Not Registered,No,,Yes,5,,3/18/2024,17
,Knox,Kimberly,Dylan,,CAR,BEN,La Trinidad,Tawang,,9,44,Female,25,,samuel14@gmail.com,2,27,1999,001-002-201-8965,Divorced,Person With Disability (PWD),Young Adult,Self-Employed,High School Level,Registered,Yes,,No,,,4/9/2024,16
,Arnold,Michael,Jacqueline,,CAR,BEN,La Trinidad,Tawang,,6,40,Male,19,,jessica77@marshall.org,8,18,2005,(189)604-3912x5460,Single,Working Youth,Core Youth,Self-Employed,Master Graduate,Not Registered,No,,No,,,5/2/2024,15
,Flores,Natasha,Nathaniel,,CAR,BEN,La Trinidad,Tawang,,9,82,Female,28,,allen55@grant.com,2,23,1996,001-544-939-7623x10139,Widowed,Person With Disability (PWD),Young Adult,Unemployed,High School Graduate,Registered,No,,Yes,4,,2/7/2024,14
,Carroll,Gabriella,Luis,,CAR,BEN,La Trinidad,Tawang,,9,41,Female,22,,keith00@walker-vasquez.com,11,26,2002,9068773997,Widowed,Working Youth,Core Youth,Unemployed,College Level,Not Registered,No,,No,,,1/18/2024,18
,Wise,Craig,Yvonne,,CAR,BEN,La Trinidad,Tawang,,8,55,Female,16,,dale32@hotmail.com,9,6,2008,150.431.1434x4035,Divorced,Out Of School Youth,Child Youth,Employed,Master Graduate,Not Registered,No,,No,,,4/5/2024,18
,Evans,Luis,Brad,,CAR,BEN,La Trinidad,Tawang,,4,43,Female,22,,kyoung@gmail.com,12,27,2002,001-675-337-7965,Widowed,Working Youth,Core Youth,Unemployed,Doctorate Level,Registered,No,,Yes,5,,6/11/2024,18
,Rose,Krista,James,,CAR,BEN,La Trinidad,Tawang,,6,83,Male,20,,tmorse@daniels-williams.com,2,8,2004,584-592-6835x8808,Widowed,Person With Disability (PWD),Core Youth,Unemployed,Master Graduate,Not Registered,No,,Yes,2,,7/5/2024,17
,Castro,William,Samuel,,CAR,BEN,La Trinidad,Tawang,,1,19,Male,16,,rochasusan@hotmail.com,8,20,2008,573-235-6306x758,Married,In School Youth,Child Youth,Unemployed,Doctorate Level,Registered,Yes,,Yes,2,,3/12/2024,16
,Love,Melissa,Paul,,CAR,BEN,La Trinidad,Tawang,,6,33,Male,28,,zbray@yahoo.com,10,1,1996,-2228,Divorced,Person With Disability (PWD),Young Adult,Currently looking for job,College Level,Registered,Yes,,No,,,4/20/2024,15
,Ross,Nicholas,Steven,,CAR,BEN,La Trinidad,Tawang,,8,40,Male,26,,vjohnson@sellers.com,10,31,1998,794-701-6076,Married,Out Of School Youth,Young Adult,Employed,Elementary Level,Registered,No,,Yes,4,,3/7/2024,14
,Johnson,Joyce,Jamie,,CAR,BEN,La Trinidad,Tawang,,3,77,Female,23,,williamsstephanie@cortez.com,6,15,2001,688-708-4427,Widowed,In School Youth,Core Youth,Employed,High School Level,Not Registered,Yes,,No,,,1/28/2024,13
,Heath,Ryan,Michelle,,CAR,BEN,La Trinidad,Tawang,,9,28,Male,27,,warellano@hotmail.com,4,9,1997,001-585-360-8261x0338,Divorced,Person With Disability (PWD),Young Adult,Self-Employed,College Graduate,Not Registered,No,,Yes,3,,2/8/2024,12
,King,Michelle,Sarah,,CAR,BEN,La Trinidad,Tawang,,4,52,Male,28,,anna39@hotmail.com,3,15,1996,7406195691,Widowed,In School Youth,Young Adult,Employed,Elementary Graduate,Not Registered,Yes,,No,,,1/16/2024,12
,Sweeney,Mark,Kelly,,CAR,BEN,La Trinidad,Tawang,,5,60,Female,23,,xhayes@yahoo.com,1,13,2001,415.882.1459,Widowed,Person With Disability (PWD),Core Youth,Unemployed,High School Graduate,Not Registered,Yes,,Yes,5,,2/9/2024,11
,Baker,Scott,Christopher,,CAR,BEN,La Trinidad,Tawang,,1,50,Female,18,,joneill@byrd.info,10,6,2006,(236)792-9138,Married,In School Youth,Core Youth,Student,High School Level,Not Registered,No,,Yes,3,,1/3/2024,5
,Leonard,John,Juan,,CAR,BEN,La Trinidad,Tawang,,3,3,Male,21,,edwinconner@gmail.com,2,24,2003,(745)667-7755x342,Divorced,Person With Disability (PWD),Core Youth,Student,Elementary Graduate,Not Registered,Yes,,Yes,5,,4/15/2024,5
,Woodward,William,James,,CAR,BEN,La Trinidad,Tawang,,8,39,Male,20,,mariafoster@acosta.net,6,12,2004,001-873-704-9011x86370,Widowed,Working Youth,Core Youth,Employed,College Graduate,Registered,No,,No,,,6/29/2024,5
,Gates,Laura,Scott,,CAR,BEN,La Trinidad,Tawang,,3,43,Male,18,,wjones@murphy-davis.net,11,28,2006,(862)742-3789,Single,In School Youth,Core Youth,Currently looking for job,Elementary Level,Not Registered,No,,No,,,1/30/2024,5
,Jacobs,Kyle,Connor,,CAR,BEN,La Trinidad,Tawang,,8,29,Female,21,,ebradley@hotmail.com,5,7,2003,101-595-1566x267,Married,Working Youth,Core Youth,Self-Employed,High School Graduate,Not Registered,No,,Yes,1,,3/29/2024,5
,Hart,Samuel,Elizabeth,,CAR,BEN,La Trinidad,Tawang,,5,34,Female,25,,larsonkelly@wolf.com,4,14,1999,832.434.7911x08551,Divorced,Person With Disability (PWD),Young Adult,Self-Employed,Doctorate Level,Not Registered,No,,No,,,1/11/2024,5
,Jones,Timothy,Daniel,,CAR,BEN,La Trinidad,Tawang,,2,78,Male,29,,paulluna@hancock-henderson.org,1,24,1995,394.792.3880,Divorced,Person With Disability (PWD),Young Adult,Self-Employed,High School Level,Registered,No,,No,,,6/15/2024,5
,Melendez,Katherine,Gregory,,CAR,BEN,La Trinidad,Tawang,,9,57,Female,29,,ricardo13@gmail.com,4,22,1995,811-598-2327,Widowed,Working Youth,Young Adult,Student,High School Graduate,Not Registered,Yes,,Yes,3,,1/13/2024,3
,Wood,Christina,Andrew,,CAR,BEN,La Trinidad,Tawang,,6,66,Male,26,,christopherperez@white.com,3,11,1998,491-621-9327,Widowed,Out Of School Youth,Young Adult,Currently looking for job,College Graduate,Not Registered,Yes,,Yes,3,,2/15/2024,5
,Moore,Willie,William,,CAR,BEN,La Trinidad,Tawang,,10,31,Male,30,,jeremyhenry@thompson-paul.com,8,2,1994,001-848-456-0386x550,Single,Out Of School Youth,Young Adult,Currently looking for job,Master Graduate,Registered,No,,No,,,5/3/2024,18
,Myers,Melissa,Daniel,,CAR,BEN,La Trinidad,Tawang,,1,85,Male,29,,ribarra@hotmail.com,4,24,1995,+1-367-196-0117x9726,Widowed,Person With Disability (PWD),Young Adult,Self-Employed,Doctorate Level,Registered,No,,No,,,4/19/2024,7
,Thompson,Monica,Autumn,,CAR,BEN,La Trinidad,Tawang,,10,13,Female,17,,ginadavis@gmail.com,2,6,2007,-11080,Widowed,Working Youth,Child Youth,Self-Employed,Vocational Graduate,Not Registered,Yes,,Yes,3,,5/26/2024,16
,Montoya,Brian,Sean,,CAR,BEN,La Trinidad,Tawang,,8,30,Female,25,,jordan10@gmail.com,9,22,1999,(790)250-8254x726,Single,In School Youth,Young Adult,Currently looking for job,Vocational Graduate,Not Registered,Yes,,No,,,5/6/2024,15
,Cruz,Alicia,Carl,,CAR,BEN,La Trinidad,Tawang,,8,54,Female,28,,arobinson@neal.com,9,5,1996,789.000.0142,Single,Working Youth,Young Adult,Self-Employed,Master Graduate,Not Registered,No,,Yes,3,,5/28/2024,13
,Turner,Elizabeth,Lisa,,CAR,BEN,La Trinidad,Tawang,,2,99,Female,27,,ystone@yahoo.com,8,27,1997,9102675261,Widowed,Person With Disability (PWD),Young Adult,Self-Employed,College Level,Registered,No,,Yes,1,,5/16/2024,4
,Brock,Denise,Kristin,,CAR,BEN,La Trinidad,Tawang,,8,91,Male,23,,grossjason@brown.com,5,13,2001,573.687.4641,Widowed,Working Youth,Core Youth,Employed,Elementary Level,Not Registered,No,,No,,,4/10/2024,4
,Carlson,Jennifer,Laura,,CAR,BEN,La Trinidad,Tawang,,5,11,Female,20,,karenellis@hayes.com,5,27,2004,+1-692-640-2387x027,Divorced,Working Youth,Core Youth,Student,College Graduate,Registered,No,,Yes,1,,4/25/2024,4
,King,Sean,Jennifer,,CAR,BEN,La Trinidad,Tawang,,10,22,Female,23,,ann49@marshall-jensen.info,1,17,2001,001-894-455-2146x490,Married,Person With Disability (PWD),Core Youth,Unemployed,Elementary Graduate,Registered,Yes,,No,,,2/24/2024,4
,Kennedy,April,Priscilla,,CAR,BEN,La Trinidad,Tawang,,7,15,Female,21,,cardenasaaron@gmail.com,1,28,2003,914.439.2469x2991,Divorced,Person With Disability (PWD),Core Youth,Self-Employed,Master Level,Not Registered,No,,No,,,1/25/2024,5
,Sherman,Danny,Jamie,,CAR,BEN,La Trinidad,Tawang,,8,67,Male,26,,fmann@molina.biz,5,7,1998,791-684-7596,Divorced,Out Of School Youth,Young Adult,Self-Employed,Doctorate Level,Not Registered,Yes,,Yes,1,,4/22/2024,5
,Pennington,Barbara,Jennifer,,CAR,BEN,La Trinidad,Tawang,,4,58,Female,25,,millerjesse@yahoo.com,9,24,1999,(711)523-0265x09655,Divorced,Working Youth,Young Adult,Self-Employed,College Graduate,Registered,Yes,,Yes,3,,4/25/2024,5
,Vazquez,Nicholas,Glen,,CAR,BEN,La Trinidad,Tawang,,6,58,Male,17,,susanharris@hotmail.com,8,23,2007,9180104237,Married,Out Of School Youth,Child Youth,Unemployed,Master Level,Not Registered,No,,Yes,1,,6/30/2024,6
,Rodriguez,Thomas,Taylor,,CAR,BEN,La Trinidad,Tawang,,3,53,Male,24,,michealnunez@martin-diaz.biz,6,30,2000,(711)818-6535,Divorced,In School Youth,Core Youth,Unemployed,Elementary Level,Not Registered,No,,No,,,3/25/2024,6
,Johnson,Alejandro,Charlotte,,CAR,BEN,La Trinidad,Tawang,,8,12,Female,30,,christopher72@anderson.com,1,2,1994,001-357-617-1677x661,Married,Working Youth,Young Adult,Unemployed,Master Level,Not Registered,Yes,,No,,,5/27/2024,6
,Krause,Rachel,Madison,,CAR,BEN,La Trinidad,Tawang,,6,2,Male,26,,sosaalexa@bridges.biz,9,15,1998,+1-253-498-1232x890,Married,Working Youth,Young Adult,Student,College Level,Registered,No,,No,,,5/2/2024,7
,Harris,Ashley,Melanie,,CAR,BEN,La Trinidad,Tawang,,1,98,Male,29,,gmcfarland@mills.com,1,18,1995,001-707-131-2042,Divorced,Working Youth,Young Adult,Self-Employed,Master Graduate,Not Registered,Yes,,No,,,1/28/2024,7
,Snyder,Katherine,Tara,,CAR,BEN,La Trinidad,Tawang,,1,5,Female,23,,zchen@yahoo.com,5,9,2001,626-886-4072,Single,In School Youth,Core Youth,Employed,Vocational Graduate,Not Registered,Yes,,Yes,3,,3/10/2024,7
,Martinez,Ronald,William,,CAR,BEN,La Trinidad,Tawang,,7,24,Male,20,,johnbrown@gmail.com,11,13,2004,778.066.0439x50263,Married,Out Of School Youth,Core Youth,Employed,Elementary Level,Registered,No,,Yes,3,,2/6/2024,8
,Mitchell,Melissa,Sheila,,CAR,BEN,La Trinidad,Tawang,,10,83,Male,21,,chase05@hotmail.com,8,10,2003,001-040-681-1958x88280,Divorced,Out Of School Youth,Core Youth,Self-Employed,Elementary Level,Registered,Yes,,No,,,2/25/2024,9
